"parameter","value","program_asof","source"
"Effective opt-out rate","34.82%","CalSavers, 8/31/2025","CalSavers Participation & Funding Snapshot (sources/calsavers-participation-snapshot-aug-2025.pdf)"
"Opt-out rate (0-30 days, since inception)","27.0%","OregonSaves, 12/31/2024","OregonSaves 2024 Annual Report (sources/oregonsaves-annual-report-2024.pdf)"
"Feasible participation rate","62.4%","OregonSaves, Apr 2020","Chalmers-Mitchell-Reuter-Zhong, MRDRC WP 2021-425, Table 1 (sources/chalmers-mitchell-reuter-zhong-oregonsaves-mrdrc-wp425.pdf)"
"Global participation rate (positive balance)","34.3%","OregonSaves, Apr 2020","Chalmers et al. (2021), Table 1"
"Positive-balance participation, lower bound","48%","OregonSaves, Sep 2018-Sep 2019","Quinby, Munnell, Hou, Belbase & Sanzenbacher (2020), cited in Chalmers et al. (2021) fn. 12"
"Median / mean monthly contribution","$148 / $194","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025"
"Median / mean monthly contribution","$141 / $185","OregonSaves, 12/31/2024","OregonSaves 2024 Annual Report"
"Average contribution rate","5.23%","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025"
"Average savings rate (funded accounts)","6.6%","OregonSaves, 12/31/2024","OregonSaves 2024 Annual Report"
"Default contribution rate (with auto-escalation)","5%, +1pp/yr to 10%","OregonSaves","Chalmers et al. (2021), Sec. II"
"Probability of 12 consecutive monthly contributions","30%","OregonSaves, Apr 2020","Chalmers et al. (2021), Fig. 2A"
"First-year contribution persistence factor (computed)","59.4%","OregonSaves, Apr 2020","Computed from Chalmers et al. (2021), Table 11 (this script)"
"Annual job turnover in covered firms","38.2%","OregonSaves, Apr 2020","Chalmers et al. (2021), Table 2"
"Accounts with full withdrawal / payroll contributing accounts","24.59%","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025"
"Cumulative withdrawals / cumulative contributions","28%","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025"
"Cumulative withdrawals / cumulative contributions","36%","OregonSaves, 12/31/2024","OregonSaves 2024 Annual Report"
"2024 distributions / 2024 contributions","45%","OregonSaves, CY2024","OregonSaves 2024 Annual Report"
"Average funded account balance","$2,490 / $2,475","CalSavers 8/2025 / OregonSaves 12/2024","Program snapshots above"
"Employer response rate, waves past deadline 3+ years","85.3%","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025 (wave table)"
"Employer response rate incl. Wave 4 (1-4 employees)","34.9%","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025 (wave table)"
"Post-deadline employers at full payroll facilitation","18% (60,931 of 331,879)","CalSavers, 8/31/2025","CalSavers Snapshot 8/31/2025 (Chart 7)"
"Employers referred to FTB; penalty compliance","9,949 Wave-2023 notices; ~24% complied","CalSavers, Oct-Dec 2024","CalSavers Board ED Report 3/6/2025 (sources/calsavers-board-enforcement-update-2025-03.pdf)"
"Registered employers actively submitting payroll (past 3 mo.)","8,293 of 31,723","OregonSaves, 12/31/2024","OregonSaves 2024 Annual Report"
"All state auto-IRA programs: assets / funded accounts","$3.03B / 1.2M+","All programs, 4/30/2026","Georgetown CRI via PLANSPONSOR 5/15/2026 (sources/plansponsor-state-assets-3b-2026.html)"
