variant_chr,magi_num,seed_num
Flat $100 (headline),0,100
Flat $100 (headline),250,100
Flat $100 (headline),500,100
Flat $100 (headline),750,100
Flat $100 (headline),1000,100
Flat $100 (headline),1250,100
Flat $100 (headline),1500,100
Flat $100 (headline),1750,100
Flat $100 (headline),2000,100
Flat $100 (headline),2250,100
Flat $100 (headline),2500,100
Flat $100 (headline),2750,100
Flat $100 (headline),3000,100
Flat $100 (headline),3250,100
Flat $100 (headline),3500,100
Flat $100 (headline),3750,100
Flat $100 (headline),4000,100
Flat $100 (headline),4250,100
Flat $100 (headline),4500,100
Flat $100 (headline),4750,100
Flat $100 (headline),5000,100
Flat $100 (headline),5250,100
Flat $100 (headline),5500,100
Flat $100 (headline),5750,100
Flat $100 (headline),6000,100
Flat $100 (headline),6250,100
Flat $100 (headline),6500,100
Flat $100 (headline),6750,100
Flat $100 (headline),7000,100
Flat $100 (headline),7250,100
Flat $100 (headline),7500,100
Flat $100 (headline),7750,100
Flat $100 (headline),8000,100
Flat $100 (headline),8250,100
Flat $100 (headline),8500,100
Flat $100 (headline),8750,100
Flat $100 (headline),9000,100
Flat $100 (headline),9250,100
Flat $100 (headline),9500,100
Flat $100 (headline),9750,100
Flat $100 (headline),10000,100
Flat $100 (headline),10250,100
Flat $100 (headline),10500,100
Flat $100 (headline),10750,100
Flat $100 (headline),11000,100
Flat $100 (headline),11250,100
Flat $100 (headline),11500,100
Flat $100 (headline),11750,100
Flat $100 (headline),12000,100
Flat $100 (headline),12250,100
Flat $100 (headline),12500,100
Flat $100 (headline),12750,100
Flat $100 (headline),13000,100
Flat $100 (headline),13250,100
Flat $100 (headline),13500,100
Flat $100 (headline),13750,100
Flat $100 (headline),14000,100
Flat $100 (headline),14250,100
Flat $100 (headline),14500,100
Flat $100 (headline),14750,100
Flat $100 (headline),15000,100
Flat $100 (headline),15250,100
Flat $100 (headline),15500,100
Flat $100 (headline),15750,100
Flat $100 (headline),16000,100
Flat $100 (headline),16250,100
Flat $100 (headline),16500,100
Flat $100 (headline),16750,100
Flat $100 (headline),17000,100
Flat $100 (headline),17250,100
Flat $100 (headline),17500,100
Flat $100 (headline),17750,100
Flat $100 (headline),18000,100
Flat $100 (headline),18250,100
Flat $100 (headline),18500,100
Flat $100 (headline),18750,100
Flat $100 (headline),19000,100
Flat $100 (headline),19250,100
Flat $100 (headline),19500,100
Flat $100 (headline),19750,100
Flat $100 (headline),20000,100
Flat $100 (headline),20250,100
Flat $100 (headline),20500,100
Flat $100 (headline),20750,100
Flat $100 (headline),21000,100
Flat $100 (headline),21250,100
Flat $100 (headline),21500,100
Flat $100 (headline),21750,100
Flat $100 (headline),22000,100
Flat $100 (headline),22250,100
Flat $100 (headline),22500,100
Flat $100 (headline),22750,100
Flat $100 (headline),23000,100
Flat $100 (headline),23250,100
Flat $100 (headline),23500,100
Flat $100 (headline),23750,100
Flat $100 (headline),24000,100
Flat $100 (headline),24250,100
Flat $100 (headline),24500,100
Flat $100 (headline),24750,100
Flat $100 (headline),25000,100
Flat $100 (headline),25250,100
Flat $100 (headline),25500,100
Flat $100 (headline),25750,100
Flat $100 (headline),26000,100
Flat $100 (headline),26250,100
Flat $100 (headline),26500,100
Flat $100 (headline),26750,100
Flat $100 (headline),27000,100
Flat $100 (headline),27250,100
Flat $100 (headline),27500,100
Flat $100 (headline),27750,100
Flat $100 (headline),28000,100
Flat $100 (headline),28250,100
Flat $100 (headline),28500,100
Flat $100 (headline),28750,100
Flat $100 (headline),29000,100
Flat $100 (headline),29250,100
Flat $100 (headline),29500,100
Flat $100 (headline),29750,100
Flat $100 (headline),30000,100
Flat $100 (headline),30250,100
Flat $100 (headline),30500,100
Flat $100 (headline),30750,100
Flat $100 (headline),31000,100
Flat $100 (headline),31250,100
Flat $100 (headline),31500,100
Flat $100 (headline),31750,100
Flat $100 (headline),32000,100
Flat $100 (headline),32250,100
Flat $100 (headline),32500,100
Flat $100 (headline),32750,100
