magi_bin_num,eligible_lbl_chr,weighted_n_num
0,Eligible (positive match),1386835.5795329907
5000,Eligible (positive match),1945758.8372989933
10000,Eligible (positive match),2482834.883641242
15000,Eligible (positive match),3080134.9261103263
20000,Eligible (positive match),3950613.7431003675
25000,Eligible (positive match),4372101.064028558
30000,Eligible (positive match),5092734.746836889
35000,Eligible (positive match),5571689.536908822
40000,Eligible (positive match),4361648.811252479
40000,No match,642717.7106036189
45000,Eligible (positive match),1580277.5545980968
45000,No match,3740098.5102341026
50000,Eligible (positive match),2066324.3504551684
50000,No match,3426741.770011875
55000,Eligible (positive match),2047867.8840559917
55000,No match,2721436.451855801
60000,Eligible (positive match),1770527.0639952752
60000,No match,2404909.4512076075
65000,Eligible (positive match),1337953.8567915298
65000,No match,3379099.1303977277
70000,Eligible (positive match),1159652.8987044592
70000,No match,2600844.5740308217
75000,Eligible (positive match),1583099.0026396303
75000,No match,2465390.1309276195
80000,Eligible (positive match),1231468.4923088674
80000,No match,1949866.3494395532
85000,Eligible (positive match),1017665.6505168217
85000,No match,2653067.7977585127
90000,No match,2924379.3962271134
95000,No match,3049637.3361568605
100000,No match,2615948.367869263
105000,No match,2697945.434945403
110000,No match,2713862.5819441066
115000,No match,2457455.615382455
120000,No match,2395488.8025126522
125000,No match,2138603.3873990946
130000,No match,2193272.7730362816
135000,No match,2388861.567937634
140000,No match,2524283.792199822
145000,No match,1687448.576451393
